
1|Дежурное отделение Татарского отдельного военизированного газоспасательного отряда (ВСГО)|ОАО "Агрохимбезопасность" (Москва)|Территориальная|Постоянная|39|ул.Беломорская, 1|533-96-08 
2|Военизированная вневедомственная охрана|ОАО "Казаньоргсинтез"|Объектовая|Постоянная|41|ул.Беломорская, 1|512-37-04 
3|5 ОВПО (ПЧ-28, ПЧ-31, ПЧ-43, ПЧ-76, отд.пост ПЧ-76)|ОАО "Казаньоргсинтез"|Объектовая|Постоянная|240|ул.Беломорская, 1|512-30-01 
4|Республиканская клиническая больница (РКБ):|Минздрав РТ|Территориальная|Ч + 6.00|100 (ожоговые койки);  100 (токсико-терапевтические койки)|Оренбургский тракт, 138|269-37-99; 269-05-42	
5|Детский медицинский центр (ДРКБ)|УЗ ИК г.Казани|Местная|Ч + 6.00|160|Оренбургский тракт, 140|269-82-79; 269-55-32 
6|Бригада скорой медицинской помощи|УЗ ИК г.Казани|Местная|Постоянная|160|ул.Чехова, 3|03 
7|Больница скорой медицинской помощи|УЗ ИК г.Казани|Местная|Ч + 5.00|100 (ожоговые койки);  100 (травматологические койки)|ул.Сибирский Тракт, 31|272-67-01; 273-45-31		
8|Городская больница № 12|УЗ ИК г.Казани|Местная|Ч + 10.00|50 (ожоговые койки);  50 (травматологические койки)|ул.Лечебная, 7|571-10-56	
9|Городская больница № 7|УЗ ИК г.Казани|Местная|Ч + 6.00|50 (ожоговые койки)|ул.Маршала Чуйкова, 54|521-48-04; 521-48-22 	
10|ПЧ-3 (Московский район)|УГОЧС г.Казани ОАО "Казаньоргсинтез"|Местная|Постоянная|250|ул.Яруллина, 19а|292-56-95 
11|ПЧ-4 (Кировский район)| |Местная|Постоянная|52|ул.Кожевенная, 20|555-02-33 
12|Отдельный пост ПЧ-76| |Объектовая|Постоянная|30|ул.Тэцевская, 11|512-30-01 
13|РУВД Кировского района|УВД г.Казани|Местная|Ч + 2.00|90|ул.Димитрова, 11|291-43-01
14|Военизированный газоспасательный отряд|ОАО "КЗСК"|Объектовая|Постоянная|20|ул.Лебедева, 2|278-46-98 
15|Военизированная вневедомственная охрана|ОАО "КЗСК"|Объектовая|Постоянная|15|ул.Лебедева, 2|  	
16|ВПЧ-13|ОАО "КЗСК"|Объектовая|Постоянная|18|ул.Лебедева, 2|278-64-89 
17|Врачебно-сестринская бригада (ВСБ) от гор.больницы № 18|УЗ ИК г.Казани|Местная|Ч + 2.00 - 4.00|4|ул.Мавлютова, 2|229-79-61 
18|ВСБ от гор.больницы № 3|УЗ ИК г.Казани|Местная|Ч + 2.00 - 4.00|4|ул.Лебедева, 1|278-52-31 
19|Бригада скорой медицинской помощи от городской станции скорой медицинской помощи|УЗ ИК г.Казани|Местная|Постоянная|160|ул.Чехова, 3|03;  236-89-54 
20|Городская больница № 5|УЗ ИК г.Казани|Местная|Ч + 6.00|50 (ожоговые койки)|ул.Ш.Камала, 10|278-29-30 		
21|РКБ № 1|Минздрав РТ|Территориальная|Ч + 10.00|100(ожоговые койки);  100(травматологические койки);  100(токсико-терапевтические койки)|Оренбургский тракт, 138|269-57-95; 269-39-98; 269-05-42	
22|ПЧ-6|УГОЧС г.Казани|Местная|Постоянная|53|ул.Красной Позиции, 3б|272-45-73 
23|ПЧ-7| |Местная|Постоянная|80|ул.Кул Гали, 4|261-99-14 
24|РУВД Советского района|УВД г.Казани|Местная|Ч + 2.00|98|ул.П.Лумумбы, 52|291-28-88 
25|РУВД Приволжского района|УВД г.Казани|Местная|Ч + 2.00|94|ул.Эсперанто, 37|291-49-02
26|Специализированная сводная группа|ОАО "Татарстан Сэтэ"|Объектовая|Ч + 2.30|8|ул.Лебедева, 4|277-17-49; 272-73-66 
